Selected Geographies,Gross rent as a percentage of household income past 12 months
"Pierce County (Central)--Tacoma City (Central) PUMA, Washington",16.62423601
"Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA, Washington",11.0273288
"Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA, Washington",17.0954704
"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA; Washington",14.74019359
"Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA, Washington",9.884951917
"Pierce County (East Central)--Puyallup City & South Hill PUMA, Washington",10.42320947
"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA; Washington",4.448919818
"Seattle City (Northwest) PUMA, Washington",15.66459604
"Seattle City (Northeast) PUMA, Washington",21.83311033
"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, Washington",21.84266238
"Seattle City (Southeast)--Capitol Hill PUMA, Washington",17.57811795
"Seattle City (West)--Duwamish & Beacon Hill PUMA, Washington",13.43218037
"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA; Washington",12.61382682
"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA; Washington",12.88032864
"King County (Northwest Central)--Greater Bellevue City PUMA, Washington",13.51833206
"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA; Washington",8.815299569
"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA; Washington",16.19695975
"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA; Washington",15.32960362
"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA; Washington",18.38687034
"King County (Southwest Central)--Kent City PUMA, Washington",15.7686829
"King County (Southwest)--Auburn City & Lakeland PUMA, Washington",12.60434307
"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA; Washington",5.829414567
"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA; Washington",6.278543647
"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA; Washington",12.77673373
"Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, Washington",15.88298033
"Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA, Washington",15.72477811
"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA; Washington",5.990774359
"Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA, Washington",6.913140658
"Snohomish County (North)--Marysville & Arlington Cities PUMA, Washington",9.446090836